username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
brunnodineck;2015-01-07 01:13;0;0;"fico olhando o trabalho de fotógrafos no facebook e tenho vontade de apagar todas as fotos que eu tiro da internet pra não sofrer bullying";;;;"552664297793658880";https://twitter.com/brunnodineck/status/552664297793658880
Isidorio_t;2015-01-05 09:09;0;0;"Já chego no trabalho sofrendo bullying";;;;"552059242765889537";https://twitter.com/Isidorio_t/status/552059242765889537
barb1xas;2015-01-04 02:06;0;0;"qual dieta Daniel Nascimento usou para deixar de ser gordinho e não sofrer mais bullying dos colegas de trabalho pesquisar";;;;"551590367343423488";https://twitter.com/barb1xas/status/551590367343423488
_luquino;2014-12-18 19:49;0;0;"Será que eu posso reclamar com o meu chefe do bullying que recebo de um colega de trabalho que é ouro V e me chama de bronze lixo? HAUAHWUAH";;;;"545697328284569600";https://twitter.com/_luquino/status/545697328284569600
jenisgp;2014-12-17 23:29;1;0;"Pra que bullying maior que aquela minha foto da carteira de trabalho? Porra...";;;;"545390373364060161";https://twitter.com/jenisgp/status/545390373364060161
yeymelimaa;2014-11-21 13:28;0;0;"O bullying no trabalho tá forte. Ahduaheja";;;;"535816941207052288";https://twitter.com/yeymelimaa/status/535816941207052288
IzadoraSilvaa1;2014-11-18 20:22;0;0;"Adoro fazer trabalho com o grupo da sala, só não sei pq sofro tanto bullying vou sentir saudades # 3ao";;;#;"534834052952776705";https://twitter.com/IzadoraSilvaa1/status/534834052952776705
PedrooHercules;2014-11-14 13:31;0;0;"Sofrendo bullying no trabalho. Não posso com isso haha";;;;"533280963410014208";https://twitter.com/PedrooHercules/status/533280963410014208
jairoraymundo;2014-11-13 08:05;0;0;"E quem disse q é só na escola, heim? @ g1: Quase metade d jovens sofre bullying no trabalho http://glo.bo/10ZJqEL # G1pic.twitter.com/Mh66z9eyoE";;@;#;"532836536312934400";https://twitter.com/jairoraymundo/status/532836536312934400
c_falabella;2014-11-10 18:34;0;0;"Dai vc faz dieta no trabalho e o pessoal faz bullying e começa a vender na copa enroladinho, coxinha,… http://instagram.com/p/vO5fATrJy7/";;;;"531907706735452160";https://twitter.com/c_falabella/status/531907706735452160
brunopponciano;2014-11-09 10:32;0;0;"Agora não posso usar um boné, boina ou touca no trabalho e com certeza vou sofrer bullying dos meus alunos.";;;;"531424027299315713";https://twitter.com/brunopponciano/status/531424027299315713
heymedeiros_;2014-10-27 06:22;0;0;"Netinho tá de bullying... Mega trabalho, mega apresentação, mega preguiça pra isso tudo kk";;;;"526665299450667008";https://twitter.com/heymedeiros_/status/526665299450667008
chenplanet;2014-10-22 21:57;0;0;"@niallgirlbj tem o trabalho de portugues de bullying que a gente não fez (e acho que nem vamos fazer)";;@niallgirlbj;;"525088583213150208";https://twitter.com/chenplanet/status/525088583213150208
ggalvaolopes;2014-10-21 13:28;0;0;"Estou sofrendo bullying no trabalho... # Dilma13 # AecioNeverpic.twitter.com/hcnIBOmP8d";;;# #;"524598107171201024";https://twitter.com/ggalvaolopes/status/524598107171201024
__misfittoy;2014-10-20 09:44;0;0;"To sofrendo bullying no trabalho pq não sei escrever com letra de mão hsuahsua a professora do 1° ano disse que vai me ensinar a escrever";;;;"524179443066343424";https://twitter.com/__misfittoy/status/524179443066343424
nahcristine;2014-10-03 11:48;0;0;"Vou ter que começar a dar aula de burca...tudo que eu visto o povo fala...bullying no ambiente de trabalho!";;;;"518050015223504896";https://twitter.com/nahcristine/status/518050015223504896
salldanhaaa;2014-10-03 09:01;0;0;"Trabalho de bullying pic.twitter.com/jkglCQUDIP";;;;"518007858328506368";https://twitter.com/salldanhaaa/status/518007858328506368
gabiioliveeeir;2014-10-03 08:47;0;0;"Meu grupo acabou de ganhar o sorteio do trabalho do bullying, minha amigas são demaaaais";;;;"518004358487998464";https://twitter.com/gabiioliveeeir/status/518004358487998464
gabiioliveeeir;2014-10-03 08:46;0;1;"A aula de história sobre o trabalho do bullying tava muito engra !";;;;"518004111879716866";https://twitter.com/gabiioliveeeir/status/518004111879716866
ribeirofflavia;2014-09-23 16:40;0;0;"Sobre sofrer bullying no trabalho:";;;;"514499485536649217";https://twitter.com/ribeirofflavia/status/514499485536649217
och044;2014-09-19 17:25;0;0;"Meu apelido no trabalho E em casa é "ogra" ou "fiona"..... Ai ces podem perceber que o bullying n tem fim";;;;"513061340609798144";https://twitter.com/och044/status/513061340609798144
lucascbcarvalho;2014-09-17 17:31;0;0;"Sofrer # Bullying no trabalho! Quem nunca? # AchoPalha # SoPqSouSubalterno # VaiTerVolta… http://instagram.com/p/tD2MmNj8SK/";;;# # # #;"512338038005846016";https://twitter.com/lucascbcarvalho/status/512338038005846016
Weendeel7;2014-09-17 09:59;0;0;"Noiz tava apresentando trabalho sobre bullying maneiro hein";;;;"512224429955637249";https://twitter.com/Weendeel7/status/512224429955637249
nandafiorenzano;2014-09-16 14:04;0;0;"Sofro bullying no trabalho. Coisa que só o @ rodrigogenta faz por mim... @TV Band Minas http://instagram.com/p/tA5wfhq_ng/";;@ @TV;;"511923583975567361";https://twitter.com/nandafiorenzano/status/511923583975567361
polentinhafrita;2014-09-15 10:33;0;0;"Sobre bullying no trabalho: zzzzz";;;;"511507999383642112";https://twitter.com/polentinhafrita/status/511507999383642112
ahoujessica;2014-09-13 18:30;0;0;"Sofro bullying no trabalho. Sou tão pequena q das meninas mais "baixas" bato no ombro";;;;"510903286174871552";https://twitter.com/ahoujessica/status/510903286174871552
lannemiim;2014-09-02 14:01;0;0;"Meu local de trabalho está em seria crise. Motivos? Bullying.";;;;"506849297422639105";https://twitter.com/lannemiim/status/506849297422639105
tudoqcabeaqui;2014-09-02 09:30;0;0;"+a zoar, fiquei quieta, o trabalho n foi exposto e a professora reclamou é quer levar o grupo na direção pq o q "fizemos" é bullying porém*";;;;"506781260543717377";https://twitter.com/tudoqcabeaqui/status/506781260543717377
